Pred_count_group,n,Pred_min,Pred_max,GT_min,GT_max,MAE,Bias,Under_counted_percent,Recall,Missed,Merge
Low,36,4.0,18.0,2.0,24.0,2.1759259259259256,-1.4537037037037035,63.888888888888886,0.7896127942640682,3.231481481481481,1.1111111111111112
Medium,30,18.333333333333332,32.333333333333336,20.0,54.0,4.822222222222222,-4.688888888888888,96.66666666666667,0.7290999429887658,8.044444444444444,2.9555555555555553
High,34,34.0,135.0,13.0,369.0,32.38235294117647,-31.107843137254896,97.05882352941177,0.5751718415652883,47.12745098039216,15.343137254901963
