Scheme,n,MAE,Bias,Under_count_percent,Recall,Missed,Merge
Pred tertile High (>33),98,32.83673469387755,-32.10204081632653,98.9795918367347,0.583783643583019,48.06122448979592,15.673469387755102
Pred quartile Q4 (>38),74,38.891891891891895,-37.91891891891892,98.64864864864865,0.569189522395121,57.067567567567565,18.445945945945947
Pred fixed bins High (>=33),103,32.067961165048544,-31.368932038834952,99.02912621359224,0.5819158845587002,46.95145631067961,15.29126213592233
"GT tertile, diagnostic only (>38)",99,33.313131313131315,-33.313131313131315,100.0,0.5669761692069452,49.13131313131313,16.0
